,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10128,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'btc-ecosystem']",21000000.0,19331687.0,19331687.0,,1,,,,2023-03-29T20:51:00.000Z,28412.710703147037,20403223845.026756,14.045,0.05842535,4.20022892,4.05870964,22.08792541,23.54594098,71.20541132,549265630134.78845,46.3882,596666924766.09,,2023-03-29T20:51:00.000Z,,,,,,2023-03-29 20:52:39.872039
1,1027,Ethereum,ETH,ethereum,6661,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2178,122373866.2178,,2,,,,2023-03-29T20:51:00.000Z,1804.859948773904,8982518514.040432,6.586,-0.15747059,1.76283819,4.10108623,11.42233897,14.8743608,50.93585246,220867689913.1231,18.6472,220867689913.12,,2023-03-29T20:51:00.000Z,,,,,,2023-03-29 20:52:39.872039
2,825,Tether,USDT,tether,50346,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,79520894633.2258,83091735571.92152,,3,,,,2023-03-29T20:51:00.000Z,1.0001009016892781,31754229132.931072,14.6721,0.00107301,0.00839692,-0.27268764,0.00114716,-0.00830767,0.03511471,79528918425.8272,6.7155,83100119668.41,,2023-03-29T20:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-03-29 20:52:39.872039
3,1839,BNB,BNB,bnb,1237,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",,157888921.26062045,159979963.59042934,,4,,,,2023-03-29T20:51:00.000Z,316.0074699871262,468990061.52952355,-7.8849,-0.02660763,0.75621195,-2.07081399,4.30116483,3.4439091,28.71175783,49894078546.565254,4.2139,50554863542.84,,2023-03-29T20:51:00.000Z,,,,,,2023-03-29 20:52:39.872039
4,3408,USD Coin,USDC,usd-coin,11220,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33266325034.883293,33266325034.883293,,5,,,,2023-03-29T20:51:00.000Z,0.999919969100827,4177590306.683615,-2.083,-0.00115547,0.00466385,0.01933194,-0.00367508,0.00174529,-0.00569449,33263662700.978573,2.8088,33263662700.98,,2023-03-29T20:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-03-29 20:52:39.872039
5,52,XRP,XRP,xrp,920,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,51678187732.0,99989057196.0,,6,,,,2023-03-29T20:51:00.000Z,0.5502877303114442,4215964051.342909,37.6274,-0.11248854,5.39596679,29.45449628,45.4759651,34.86889339,61.67116966,28437872633.651,2.4018,55028773031.14,,2023-03-29T20:51:00.000Z,,,,,,2023-03-29 20:52:39.872039
6,2010,Cardano,ADA,cardano,749,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34735304698.098,35626240479.45,,7,,,,2023-03-29T20:51:00.000Z,0.3850216253661462,499610617.02859354,75.9817,-0.1565696,6.85838066,6.68075411,6.9257482,0.95551689,59.04200793,13373843472.450026,1.1293,17325973141.48,,2023-03-29T20:51:00.000Z,,,,,,2023-03-29 20:52:39.872039
7,3890,Polygon,MATIC,polygon,636,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,9080469069.28493,10000000000.0,,8,,,,2023-03-29T20:51:00.000Z,1.126025467882402,372762330.4002338,5.6412,0.38454656,3.29961534,0.9489335,-7.68864377,-0.67439601,45.75941428,10224839432.333242,0.8636,11260254678.82,,2023-03-29T20:51:00.000Z,,,,,,2023-03-29 20:52:39.872039
8,74,Dogecoin,DOGE,dogecoin,669,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,9,,,,2023-03-29T20:51:00.000Z,0.07583795101406861,411728136.3260326,48.3562,-0.11357031,2.86950214,3.24691284,-5.84193864,-13.50361257,8.38136169,10061478923.974411,0.8496,10061478923.97,,2023-03-29T20:51:00.000Z,,,,,,2023-03-29 20:52:39.872039
9,5426,Solana,SOL,solana,449,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,384651688.9070119,539312704.8875339,,10,,,,2023-03-29T20:51:00.000Z,21.181564634926616,376104343.1720433,8.8905,0.18269772,3.17323935,-1.80515079,-5.70797041,-11.4799846,158.64600492,8147524610.517558,0.6879,11423486917.01,,2023-03-29T20:51:00.000Z,,,,,,2023-03-29 20:52:39.872039
